"Story","Title","Result","Date","Stability","Duration (s)"
"Invalid login story","Attempting to login with invalid data","SUCCESS","2025-05-03T14:21:40.4347313+03:00[Asia/Beirut]","0.0","30.86"
"Valid login story","Attempting to login with valid data","SUCCESS","2025-05-03T14:21:56.872256+03:00[Asia/Beirut]","0.0","14.3"
