"Story","Title","Result","Date","Stability","Duration (s)"
"Invalid login story","Attempting to login with invalid data","SUCCESS","2025-05-03T14:21:40.4347313+03:00[Asia/Beirut]","0.0","30.86"
"Valid login story","Attempting to login with valid data","SUCCESS","2025-05-03T14:21:56.872256+03:00[Asia/Beirut]","0.0","14.3"
"Invalid category navigation story","User should be able to navigate to given category invalid","SUCCESS","2025-05-03T14:22:04.7770573+03:00[Asia/Beirut]","0.0","7.08"
"Valid category navigation story","User should be able to navigate to given category valid","SUCCESS","2025-05-03T14:22:14.9720416+03:00[Asia/Beirut]","0.0","9.35"
